skier_id,resort,jacket_color,ski_color,hours_skied,snow_quality,had_lunch,cm_of_new_snow,afternoon_beverage
52,Jungfrau,white,orange,5,7,True,2,wine
53,Lenzerheide,orange,pink,1,7,True,49,orange juice
54,Verbier,yellow,black,5,1,False,23,orange juice
55,Jungfrau,blue,red,7,3,False,32,snow_mocha
56,Laax,black,blue,3,3,False,49,wine
57,Zermatt,yellow,orange,7,2,True,47,water
58,Laax,purple,orange,9,2,True,43,water
59,Zermatt,white,orange,9,6,False,23,orange juice
60,Zermatt,orange,green,7,2,False,42,wine
61,Arosa,black,grey,8,10,True,12,orange juice
62,Lenzerheide,orange,blue,9,1,False,37,hot_chocolate
63,Arosa,black,purple,2,8,False,44,coffee
64,Zermatt,green,pink,8,5,False,46,orange juice
65,Engelberg,red,grey,9,8,False,27,wine
66,Jungfrau,purple,black,5,2,True,41,wine
67,Jungfrau,blue,pink,8,5,True,31,wine
68,Jungfrau,blue,orange,6,4,False,8,orange juice
69,Zermatt,yellow,purple,9,9,True,44,tea
70,Engelberg,yellow,purple,8,3,True,40,wine
71,Laax,red,orange,9,9,False,1,wine
72,Arosa,white,yellow,4,10,False,16,orange juice
73,Engelberg,blue,yellow,3,5,True,20,tea
74,St. Moritz,blue,grey,4,1,False,43,snow_mocha
75,Davos,yellow,white,3,6,False,12,snow_mocha
76,Laax,purple,yellow,4,3,False,20,coffee
77,Verbier,black,white,8,6,True,0,water
78,Jungfrau,black,black,7,8,False,31,water
79,Zermatt,orange,red,3,2,True,20,tea
80,Engelberg,yellow,grey,1,4,False,24,wine
81,Arosa,red,yellow,5,1,True,47,snow_mocha
82,Arosa,white,pink,2,9,False,16,wine
83,Arosa,blue,orange,5,5,False,41,snow_mocha
84,Arosa,red,orange,6,7,True,45,tea
85,Zermatt,green,red,8,6,False,33,coffee
86,Jungfrau,grey,white,7,4,True,10,wine
87,Laax,white,grey,8,4,True,10,coffee
88,Laax,pink,blue,5,8,False,33,tea
89,St. Moritz,pink,yellow,5,6,True,35,snow_mocha
90,Crans-Montana,green,red,1,2,False,2,coffee
91,Lenzerheide,grey,grey,7,8,False,13,water
92,Laax,pink,green,6,8,True,29,orange juice
93,Laax,green,orange,4,2,True,24,orange juice
94,Zermatt,blue,blue,5,5,False,9,tea
95,Arosa,purple,black,3,5,True,32,tea
96,Engelberg,blue,purple,5,7,True,49,snow_mocha
97,Laax,green,green,2,4,False,19,snow_mocha
98,Arosa,green,white,8,6,False,29,tea
99,Arosa,purple,red,3,2,True,45,coffee
100,Jungfrau,yellow,purple,8,3,False,27,tea
101,Verbier,pink,red,4,7,False,44,wine
102,Zermatt,pink,blue,9,2,False,2,hot_chocolate
103,Verbier,red,orange,8,3,True,23,wine
104,Engelberg,red,yellow,7,5,False,25,tea
105,Zermatt,red,purple,3,6,True,44,wine
106,Arosa,green,yellow,6,6,True,5,wine
107,Lenzerheide,yellow,blue,7,2,False,32,hot_chocolate
108,Laax,green,red,4,3,False,16,water
109,Zermatt,black,black,3,4,False,0,wine
110,Verbier,white,blue,6,6,True,15,hot_chocolate
111,Lenzerheide,yellow,orange,9,5,False,15,tea
112,Zermatt,green,purple,2,4,True,28,snow_mocha
113,Davos,pink,white,1,4,False,0,tea
114,Zermatt,red,white,6,6,True,23,wine
115,Zermatt,green,yellow,7,2,True,33,orange juice
116,Arosa,yellow,grey,3,6,True,5,coffee
117,Crans-Montana,purple,red,8,7,False,3,water
118,Crans-Montana,grey,black,2,1,False,3,wine
119,Lenzerheide,white,white,4,1,True,31,wine
120,Crans-Montana,green,purple,4,5,True,48,water
121,Lenzerheide,red,grey,1,8,False,30,wine
122,St. Moritz,yellow,yellow,6,9,True,35,tea
123,Engelberg,grey,purple,1,8,False,49,coffee
124,Verbier,pink,red,3,10,True,1,coffee
125,Crans-Montana,green,pink,1,8,False,46,coffee
126,St. Moritz,orange,yellow,6,9,True,34,coffee
127,Laax,pink,purple,7,7,True,30,coffee
128,Laax,purple,white,1,10,True,44,coffee
129,Engelberg,green,black,5,10,False,10,wine
130,Laax,blue,red,9,10,False,3,orange juice
131,Crans-Montana,yellow,pink,4,3,False,25,snow_mocha
132,Laax,black,white,2,5,True,24,water
133,Arosa,orange,purple,2,5,True,17,snow_mocha
134,Jungfrau,blue,white,5,3,False,21,tea
135,Crans-Montana,green,grey,3,1,False,35,water
136,Engelberg,black,pink,5,7,False,6,wine
137,Zermatt,black,grey,7,8,True,38,wine
138,Lenzerheide,blue,pink,3,1,True,16,coffee
139,St. Moritz,blue,white,3,3,True,41,snow_mocha
140,Engelberg,orange,red,4,4,True,36,snow_mocha
141,Verbier,blue,orange,4,9,False,18,tea
142,St. Moritz,orange,pink,3,9,False,46,snow_mocha
143,Verbier,red,red,3,10,False,27,orange juice
144,St. Moritz,white,purple,5,10,False,43,snow_mocha
145,Davos,red,green,5,6,False,23,snow_mocha
146,Arosa,black,orange,5,3,True,41,snow_mocha
147,Davos,white,red,5,8,False,6,snow_mocha
148,Arosa,yellow,yellow,3,5,False,6,orange juice
149,Jungfrau,red,red,9,8,False,37,water
150,Zermatt,black,grey,3,5,False,8,coffee
151,Davos,pink,blue,5,1,True,29,snow_mocha
152,St. Moritz,black,orange,4,4,False,37,snow_mocha
153,Arosa,blue,blue,1,4,False,36,tea
154,Arosa,purple,orange,8,1,True,8,orange juice
155,Zermatt,grey,black,6,5,False,38,tea
156,Arosa,purple,purple,4,6,True,47,coffee
157,St. Moritz,orange,grey,9,6,False,9,water
158,Laax,blue,blue,8,5,True,7,hot_chocolate
159,Arosa,pink,grey,6,4,True,10,snow_mocha
160,Engelberg,black,purple,3,3,True,34,wine
161,Laax,red,blue,7,4,False,44,hot_chocolate
162,Laax,yellow,grey,2,9,True,38,tea
163,Zermatt,white,black,2,9,False,17,tea
164,Arosa,purple,grey,5,8,True,18,tea
165,Arosa,blue,red,6,7,False,11,snow_mocha
166,Davos,red,white,7,6,False,17,coffee
167,Jungfrau,blue,yellow,2,1,False,6,snow_mocha
168,Engelberg,white,blue,4,1,True,29,wine
169,Laax,white,grey,7,6,False,2,wine
170,Zermatt,purple,orange,2,5,True,13,coffee
171,Davos,green,yellow,2,7,False,35,snow_mocha
172,Arosa,black,green,4,9,False,29,tea
173,Zermatt,grey,grey,7,1,False,27,coffee
174,Zermatt,blue,black,3,10,True,34,coffee
175,Arosa,purple,pink,2,4,False,39,wine
176,St. Moritz,orange,blue,2,7,True,16,tea
177,St. Moritz,yellow,pink,3,1,False,26,snow_mocha
178,St. Moritz,red,orange,6,8,False,13,coffee
179,Lenzerheide,green,red,7,5,False,26,water
180,Lenzerheide,white,blue,9,6,True,40,hot_chocolate
181,Arosa,white,black,3,5,False,41,wine
182,Engelberg,grey,white,7,6,False,39,water
183,Engelberg,green,orange,2,5,False,10,orange juice
184,Engelberg,black,green,1,1,False,42,wine
185,Lenzerheide,orange,white,7,7,False,14,water
186,Davos,purple,blue,1,6,True,49,coffee
187,Jungfrau,orange,red,4,6,False,9,water
188,Lenzerheide,blue,black,3,7,True,49,snow_mocha
189,Zermatt,red,yellow,9,5,False,7,coffee
190,St. Moritz,grey,yellow,1,6,False,20,coffee
191,Davos,black,white,5,9,True,36,snow_mocha
192,Lenzerheide,orange,white,5,3,True,27,tea
193,Zermatt,grey,purple,5,5,False,32,wine
194,Jungfrau,purple,purple,8,4,True,41,wine
195,Jungfrau,blue,blue,4,2,True,10,tea
196,Engelberg,yellow,grey,3,7,True,6,snow_mocha
197,St. Moritz,blue,red,1,7,False,37,orange juice
198,Zermatt,orange,white,5,2,True,1,wine
199,Verbier,green,red,7,7,False,0,tea
200,Verbier,blue,blue,3,2,True,41,coffee
201,Lenzerheide,purple,black,2,7,True,43,orange juice
202,Zermatt,purple,yellow,9,1,False,28,water
203,Lenzerheide,orange,blue,8,3,True,24,hot_chocolate
204,Zermatt,pink,yellow,7,4,False,37,coffee
205,Engelberg,white,pink,2,4,False,4,tea
206,St. Moritz,orange,purple,7,10,True,44,wine
207,St. Moritz,yellow,green,9,5,True,30,snow_mocha
208,Jungfrau,red,blue,4,4,False,27,tea
209,Engelberg,purple,yellow,1,4,True,22,snow_mocha
210,Davos,blue,grey,3,2,True,37,snow_mocha
211,Arosa,white,orange,5,4,True,43,wine
212,Engelberg,green,red,2,7,False,42,water
213,Arosa,blue,purple,7,10,False,28,coffee
214,Davos,black,yellow,3,5,False,27,snow_mocha
215,St. Moritz,blue,pink,1,8,False,19,water
216,Davos,white,purple,1,7,True,13,wine
217,Verbier,orange,pink,2,7,True,17,tea
218,Jungfrau,green,red,4,9,False,11,tea
219,Jungfrau,grey,blue,5,2,False,49,water
220,Arosa,black,red,8,1,True,22,wine
221,Arosa,pink,yellow,3,4,True,38,coffee
222,Jungfrau,blue,black,9,3,False,18,orange juice
223,Laax,purple,white,8,3,True,49,orange juice
224,Jungfrau,white,yellow,2,6,True,2,snow_mocha
225,Davos,purple,red,4,9,True,14,snow_mocha
226,Jungfrau,purple,purple,5,10,False,33,wine
227,Zermatt,grey,purple,2,1,False,28,orange juice
228,Lenzerheide,white,blue,4,5,True,34,orange juice
229,Crans-Montana,orange,orange,2,10,False,13,tea
230,Jungfrau,orange,green,3,9,False,36,water
231,St. Moritz,black,grey,4,8,False,3,snow_mocha
232,Jungfrau,yellow,grey,7,3,False,7,water
233,Zermatt,green,orange,8,6,False,7,tea
234,Verbier,grey,pink,3,4,False,27,wine
235,Jungfrau,black,blue,6,9,False,16,hot_chocolate
236,Laax,yellow,pink,4,3,True,19,coffee
237,Verbier,pink,pink,8,10,True,23,tea
238,Lenzerheide,yellow,red,9,5,False,35,orange juice
239,Zermatt,white,yellow,2,3,False,30,orange juice
240,Lenzerheide,yellow,green,9,10,False,35,wine
241,St. Moritz,black,purple,7,8,True,27,wine
242,Verbier,pink,white,1,10,True,40,tea
243,Engelberg,red,pink,5,9,True,0,snow_mocha
244,Arosa,pink,grey,9,9,False,35,snow_mocha
245,Arosa,purple,blue,1,10,False,15,wine
246,Lenzerheide,purple,white,8,2,False,45,orange juice
247,Verbier,blue,pink,3,1,True,40,water
248,Engelberg,blue,purple,9,9,True,46,wine
249,Arosa,pink,white,5,9,True,12,tea
250,Davos,blue,yellow,1,3,False,15,coffee
251,Jungfrau,pink,black,7,3,True,20,orange juice
252,Zermatt,purple,white,7,5,True,27,wine
253,Engelberg,green,pink,1,2,True,46,coffee
254,Zermatt,blue,red,8,7,False,1,water
255,Lenzerheide,blue,green,7,10,True,13,snow_mocha
256,Laax,orange,grey,3,2,False,3,tea
257,Lenzerheide,green,yellow,9,10,False,12,snow_mocha
258,Laax,orange,red,4,9,False,39,tea
259,Lenzerheide,red,black,3,8,True,2,tea
260,Laax,red,black,5,8,False,35,wine
261,Verbier,orange,pink,3,7,True,44,coffee
262,Verbier,pink,red,6,7,True,41,wine
263,Lenzerheide,black,green,9,5,True,2,wine
264,Crans-Montana,yellow,purple,9,10,False,24,coffee
265,Engelberg,grey,pink,7,4,False,22,water
266,St. Moritz,purple,red,1,5,False,37,wine
267,Arosa,black,green,5,8,True,30,wine
268,Davos,green,purple,9,10,False,18,water
269,Engelberg,blue,orange,4,9,False,23,tea
270,Jungfrau,blue,black,4,2,False,26,tea
271,Laax,yellow,green,8,3,True,1,coffee
272,Engelberg,blue,yellow,3,5,False,6,tea
273,Davos,blue,white,9,5,True,35,water
274,Crans-Montana,pink,black,3,4,True,32,snow_mocha
275,Engelberg,pink,yellow,6,7,False,38,orange juice
276,Arosa,blue,green,6,9,False,16,orange juice
277,St. Moritz,green,pink,2,4,False,7,snow_mocha
278,Crans-Montana,yellow,orange,1,9,False,3,water
279,Arosa,grey,red,9,8,False,2,coffee
280,Engelberg,purple,black,2,1,True,17,tea
281,Davos,yellow,purple,6,9,False,7,water
282,Crans-Montana,green,pink,3,8,True,15,wine
283,Davos,pink,grey,6,8,False,37,orange juice
284,Laax,orange,purple,5,1,True,13,water
285,Engelberg,grey,red,6,6,True,6,wine
286,Laax,purple,green,2,2,False,29,wine
287,St. Moritz,pink,yellow,2,10,False,47,snow_mocha
288,Laax,red,purple,4,3,False,22,tea
289,Arosa,blue,purple,7,8,True,13,coffee
290,Laax,green,black,6,9,False,17,tea
291,Lenzerheide,white,grey,2,4,False,0,orange juice
292,Lenzerheide,purple,green,4,7,True,32,water
293,Engelberg,pink,blue,4,9,True,38,coffee
294,Verbier,grey,blue,5,9,False,40,tea
295,Lenzerheide,black,blue,8,5,True,35,hot_chocolate
296,Lenzerheide,red,grey,7,3,True,6,orange juice
297,Lenzerheide,green,red,7,6,False,7,tea
298,St. Moritz,pink,blue,2,8,False,27,tea
299,Jungfrau,black,blue,6,2,True,35,hot_chocolate
300,Lenzerheide,orange,yellow,3,2,True,8,tea
301,Crans-Montana,white,black,1,9,True,36,water
302,Davos,black,black,5,9,True,25,snow_mocha
303,Arosa,red,white,9,8,True,32,orange juice
304,Davos,pink,pink,1,3,True,35,tea
305,Arosa,purple,purple,4,4,True,12,water
306,Davos,green,green,2,6,False,23,wine
307,Crans-Montana,white,yellow,1,8,False,46,tea
308,Lenzerheide,pink,red,1,4,False,42,tea
309,Laax,grey,yellow,7,6,True,10,water
310,Jungfrau,grey,pink,3,1,False,33,coffee
311,St. Moritz,black,orange,8,4,False,45,snow_mocha
312,Verbier,grey,orange,5,2,False,35,snow_mocha
313,Laax,pink,purple,9,2,True,13,water
314,Arosa,green,black,8,3,False,9,tea
315,Laax,yellow,pink,6,2,False,32,wine
316,Laax,blue,black,3,9,False,14,coffee
317,Engelberg,grey,green,5,3,True,33,wine
318,Jungfrau,red,pink,1,2,True,46,tea
319,Jungfrau,grey,purple,9,6,False,22,wine
320,Zermatt,purple,green,5,1,False,25,wine
321,Lenzerheide,orange,blue,2,10,False,45,wine
322,Lenzerheide,blue,blue,8,3,False,28,hot_chocolate
323,Arosa,grey,orange,8,3,True,34,snow_mocha
324,St. Moritz,yellow,yellow,6,10,True,17,orange juice
325,Lenzerheide,grey,green,9,8,True,44,tea
326,Engelberg,pink,blue,2,8,True,11,water
327,Zermatt,black,red,5,1,True,26,tea
328,Arosa,green,black,9,1,True,43,water
329,Jungfrau,white,red,5,5,False,31,orange juice
330,Engelberg,black,grey,1,2,True,28,tea
331,Engelberg,white,yellow,5,1,True,26,wine
332,St. Moritz,black,red,8,4,True,5,wine
333,Engelberg,green,grey,8,1,True,47,orange juice
334,Laax,black,yellow,2,4,True,9,tea
335,Laax,orange,yellow,5,4,True,17,orange juice
336,Verbier,red,blue,8,3,False,31,hot_chocolate
337,Davos,purple,orange,6,6,False,37,snow_mocha
338,Crans-Montana,pink,blue,4,10,False,12,snow_mocha
339,Verbier,purple,orange,2,3,False,39,water
340,Zermatt,pink,white,2,5,True,37,orange juice
341,Arosa,yellow,green,2,6,False,34,coffee
342,Laax,black,pink,4,10,False,14,water
343,Arosa,yellow,white,3,2,False,19,orange juice
344,Verbier,orange,grey,5,2,True,49,coffee
345,Laax,black,blue,2,5,False,7,wine
346,Arosa,green,green,4,4,False,10,water
347,Engelberg,red,yellow,7,7,True,8,tea
348,Zermatt,white,green,4,7,True,34,coffee
349,Laax,grey,green,7,5,True,14,tea
350,St. Moritz,black,red,9,9,True,34,wine
351,Zermatt,orange,yellow,7,6,False,30,tea
352,Arosa,purple,black,8,2,True,28,snow_mocha
353,Zermatt,black,orange,4,4,True,10,tea
354,St. Moritz,pink,orange,6,10,False,39,tea
355,Verbier,blue,pink,3,8,True,31,water
356,Laax,green,red,1,10,True,44,water
357,Zermatt,pink,grey,5,2,False,7,water
358,Davos,black,black,4,10,True,28,snow_mocha
359,St. Moritz,yellow,blue,8,7,True,41,hot_chocolate
360,St. Moritz,black,purple,6,10,True,24,wine
361,Jungfrau,grey,blue,8,8,False,45,hot_chocolate
362,Zermatt,black,orange,2,9,False,45,tea
363,Verbier,red,blue,5,3,True,37,snow_mocha
364,Davos,orange,red,5,3,True,19,snow_mocha
365,St. Moritz,yellow,green,8,4,True,4,coffee
366,Zermatt,black,yellow,6,7,False,18,tea
367,Zermatt,green,green,3,5,True,30,orange juice
368,Jungfrau,yellow,purple,5,5,False,8,orange juice
369,Davos,blue,blue,6,3,False,40,hot_chocolate
370,Engelberg,purple,yellow,3,1,True,37,tea
371,Engelberg,pink,black,1,1,False,20,coffee
372,Davos,black,yellow,7,9,False,14,coffee
373,Jungfrau,yellow,yellow,9,2,True,2,orange juice
374,Verbier,blue,yellow,2,9,True,22,orange juice
375,Engelberg,green,orange,1,6,False,17,tea
376,St. Moritz,green,black,5,5,True,35,snow_mocha
377,Engelberg,pink,blue,8,8,False,9,hot_chocolate
378,St. Moritz,red,black,7,10,False,23,coffee
379,Lenzerheide,purple,blue,6,7,True,33,hot_chocolate
380,Crans-Montana,blue,red,9,4,True,18,tea
381,Laax,grey,yellow,2,5,False,15,water
382,Verbier,orange,black,5,1,False,19,coffee
383,Arosa,purple,green,5,5,True,11,orange juice
384,Davos,yellow,purple,3,6,True,43,snow_mocha
385,St. Moritz,red,orange,7,5,True,48,wine
386,Zermatt,purple,blue,7,1,True,20,hot_chocolate
387,Arosa,blue,pink,9,6,False,7,coffee
388,Jungfrau,orange,blue,7,2,True,6,hot_chocolate
389,Jungfrau,green,grey,2,6,False,49,orange juice
390,Davos,orange,yellow,5,7,True,15,snow_mocha
391,Zermatt,red,yellow,9,3,True,0,orange juice
392,Jungfrau,purple,blue,3,4,True,22,orange juice
393,Arosa,grey,red,6,2,False,11,wine
394,Zermatt,grey,grey,6,8,False,49,tea
395,Laax,white,black,8,9,False,29,coffee
396,Arosa,yellow,black,6,8,True,17,wine
397,Engelberg,blue,yellow,5,5,True,33,tea
398,Arosa,yellow,grey,2,4,False,38,orange juice
399,Verbier,red,green,2,7,True,37,orange juice
400,Zermatt,green,white,1,5,True,17,tea
401,Verbier,red,red,9,6,True,17,orange juice
402,Arosa,grey,green,9,2,True,47,orange juice
403,Engelberg,yellow,white,8,3,False,33,tea
404,St. Moritz,purple,grey,5,6,True,47,snow_mocha
405,Davos,yellow,blue,9,6,True,23,hot_chocolate
406,Verbier,yellow,black,4,2,False,41,wine
407,Zermatt,green,white,5,7,False,1,coffee
408,St. Moritz,green,black,3,6,False,32,snow_mocha
409,St. Moritz,red,black,2,6,False,47,orange juice
410,Lenzerheide,blue,white,6,4,False,42,wine
411,Davos,red,orange,2,10,False,27,wine
412,Jungfrau,yellow,yellow,2,3,False,42,tea
413,Verbier,blue,orange,8,3,True,10,orange juice
414,Davos,blue,black,4,7,False,43,snow_mocha
415,Davos,green,blue,2,2,True,23,wine
416,Crans-Montana,purple,yellow,8,7,False,32,tea
417,Laax,green,black,4,8,True,8,wine
418,Arosa,grey,orange,6,6,True,23,coffee
419,St. Moritz,pink,orange,5,5,True,33,snow_mocha
420,Zermatt,red,purple,6,6,True,12,orange juice
421,Lenzerheide,orange,yellow,1,7,True,5,orange juice
422,Arosa,blue,orange,8,6,False,2,water
423,Engelberg,green,white,3,8,True,44,tea
424,Crans-Montana,red,blue,9,7,True,29,hot_chocolate
425,Davos,black,purple,8,6,True,46,tea
426,Laax,yellow,blue,9,8,False,11,hot_chocolate
427,St. Moritz,blue,black,7,3,False,32,orange juice
428,Jungfrau,grey,yellow,3,10,True,49,water
429,Jungfrau,yellow,grey,7,8,True,3,coffee
430,Laax,blue,orange,7,2,True,23,snow_mocha
431,Lenzerheide,yellow,green,9,4,False,36,wine
432,Arosa,blue,red,7,4,True,28,snow_mocha
433,Davos,pink,white,9,4,True,14,orange juice
434,St. Moritz,blue,green,7,1,False,48,coffee
435,Jungfrau,purple,yellow,7,4,False,41,orange juice
436,Crans-Montana,black,grey,7,9,False,24,orange juice
437,St. Moritz,white,yellow,1,8,False,43,coffee
438,Jungfrau,white,red,4,9,False,45,water
439,Crans-Montana,pink,pink,5,4,False,35,tea
440,Jungfrau,pink,grey,2,9,True,17,wine
441,Lenzerheide,orange,blue,7,5,False,7,hot_chocolate
442,Crans-Montana,green,green,2,7,True,39,wine
443,St. Moritz,black,green,4,1,False,40,snow_mocha
444,Arosa,grey,pink,3,2,True,27,orange juice
445,Lenzerheide,pink,grey,8,8,False,27,wine
446,St. Moritz,green,blue,3,9,False,14,snow_mocha
447,St. Moritz,green,white,7,6,True,28,coffee
448,Crans-Montana,pink,pink,2,3,False,48,coffee
449,Lenzerheide,purple,green,9,1,True,32,water
450,St. Moritz,blue,orange,6,2,False,23,water
451,Lenzerheide,red,orange,8,6,True,4,wine
452,Verbier,purple,grey,6,7,True,33,snow_mocha
453,Davos,purple,white,8,5,True,36,coffee
454,Davos,orange,white,4,5,False,33,snow_mocha
455,Jungfrau,green,yellow,7,7,True,40,water
456,Engelberg,blue,white,4,3,False,35,wine
457,Arosa,red,grey,1,9,False,18,wine
458,Davos,blue,grey,2,4,False,9,coffee
459,Zermatt,white,black,6,1,True,8,water
460,Arosa,orange,green,8,2,True,49,orange juice
461,Crans-Montana,pink,pink,2,6,True,32,orange juice
462,Laax,grey,orange,2,2,True,43,tea
463,Davos,black,pink,7,4,True,20,coffee
464,Verbier,grey,yellow,6,8,True,43,water
465,St. Moritz,black,pink,4,2,False,41,snow_mocha
466,Crans-Montana,yellow,purple,2,3,True,22,coffee
467,Davos,grey,black,2,1,True,31,tea
468,Crans-Montana,white,pink,7,2,False,26,tea
469,Crans-Montana,pink,pink,4,3,False,28,coffee
470,Jungfrau,blue,white,4,7,False,10,coffee
471,St. Moritz,red,red,7,2,False,31,coffee
472,Jungfrau,grey,green,7,3,False,0,orange juice
473,Laax,orange,blue,8,6,True,19,hot_chocolate
474,Davos,purple,pink,6,8,True,7,snow_mocha
475,Lenzerheide,grey,white,2,4,False,32,wine
476,Laax,blue,green,8,10,False,44,snow_mocha
477,Jungfrau,blue,white,6,7,False,2,snow_mocha
478,Crans-Montana,orange,pink,8,8,False,34,orange juice
479,Verbier,red,pink,8,10,False,14,tea
480,Arosa,yellow,blue,1,5,False,14,tea
481,Engelberg,red,pink,1,3,False,19,tea
482,Jungfrau,green,green,3,3,True,8,tea
483,Arosa,orange,purple,1,2,False,21,orange juice
484,Lenzerheide,grey,yellow,3,5,True,49,orange juice
485,Crans-Montana,orange,grey,8,3,True,40,orange juice
486,Crans-Montana,green,orange,3,8,False,29,orange juice
487,Jungfrau,white,red,5,9,False,39,wine
488,Verbier,orange,grey,2,4,True,48,wine
489,Jungfrau,purple,blue,8,10,False,33,hot_chocolate
490,Engelberg,black,white,7,5,False,1,coffee
491,Jungfrau,orange,blue,6,2,True,38,hot_chocolate
492,Engelberg,green,pink,6,10,True,35,coffee
493,St. Moritz,blue,pink,3,5,False,19,snow_mocha
494,Davos,orange,grey,8,1,True,36,tea
495,Davos,blue,grey,8,10,False,35,coffee
496,St. Moritz,grey,yellow,4,2,False,1,snow_mocha
497,Engelberg,pink,grey,4,6,False,39,coffee
498,Laax,blue,white,3,2,True,10,coffee
499,Davos,orange,orange,7,1,False,29,tea
500,Davos,red,black,5,4,True,27,snow_mocha
501,Davos,purple,yellow,7,4,False,11,coffee
502,Davos,blue,purple,6,6,True,0,coffee
503,Engelberg,green,blue,2,3,False,14,orange juice
504,Arosa,black,purple,3,2,False,35,wine
505,Zermatt,red,red,7,10,True,14,tea
506,Arosa,grey,grey,9,7,True,41,orange juice
507,Arosa,white,yellow,8,10,True,43,snow_mocha
508,Engelberg,orange,yellow,2,10,False,4,orange juice
509,Zermatt,blue,yellow,2,2,False,4,tea
510,St. Moritz,orange,purple,4,2,True,19,snow_mocha
511,Crans-Montana,green,black,4,6,True,26,coffee
512,Arosa,white,blue,9,4,True,41,hot_chocolate
513,St. Moritz,purple,yellow,7,3,True,10,wine
514,Jungfrau,white,pink,5,10,True,24,wine
515,Crans-Montana,blue,grey,7,10,False,48,coffee
516,Arosa,blue,red,2,10,True,0,snow_mocha
517,Davos,green,black,2,1,True,40,tea
518,St. Moritz,yellow,yellow,5,10,True,19,snow_mocha
519,Lenzerheide,yellow,orange,3,2,False,25,tea
520,St. Moritz,orange,grey,8,2,True,28,tea
521,Verbier,pink,yellow,1,3,False,17,tea
522,Lenzerheide,orange,pink,2,6,False,30,orange juice
523,St. Moritz,yellow,grey,3,5,False,43,snow_mocha
524,Verbier,yellow,pink,6,7,True,19,orange juice
525,Lenzerheide,white,grey,5,10,True,48,wine
526,Crans-Montana,pink,purple,1,2,True,49,snow_mocha
527,Arosa,red,black,6,6,True,25,orange juice
528,Laax,pink,green,4,7,False,18,wine
529,Davos,blue,orange,7,9,True,24,orange juice
530,Arosa,grey,black,8,5,False,31,coffee
531,Jungfrau,grey,white,3,7,False,27,orange juice
532,Verbier,blue,pink,6,4,False,36,tea
533,Crans-Montana,white,pink,8,3,False,7,coffee
534,Laax,red,purple,9,1,False,5,snow_mocha
535,Laax,purple,green,7,8,False,12,orange juice
536,Engelberg,white,grey,8,4,True,4,snow_mocha
537,Verbier,pink,orange,9,6,True,21,tea
538,Jungfrau,red,yellow,3,2,True,12,water
539,Davos,yellow,white,3,5,False,14,snow_mocha
540,Zermatt,green,pink,8,8,False,42,wine
